,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
WNC,1.463601,-1,2,1,0,1,0,"Wabash National Corporation designs, manufactures, and distributes engineered solutions for the transportation, logistics, and distribution industries primarily in the United States. The company operates through two segments, Transportation Solutions and Parts & Services. The Transportation Solutions segment provides dry van and platform trailers; refrigerated trailers; converter dollies; van bodies for dry-freight transportation; cutaway van bodies for commercial applications; service bodies; insulated van bodies; stake bodies; refrigerated truck bodies; and used trailers, as well as laminated hardwood oak flooring products. This segment also offers stainless steel and aluminum tank trailers for the dairy, food and beverage, oil, gas, and chemical end markets; dry bulk trailers; and fiberglass reinforced poly tank trailers. The Parts & Services segment provides aftermarket parts and services; aluminum and steel flatbed bodies, shelving for package delivery, partitions, roof racks, hitches, liftgates, and thermal solutions; and door repair and replacement, collision repair, and basic maintenance services. This segment also offers stainless steel storage tanks and silos, mixers, and processors for the dairy, food and beverage, pharmaceutical, chemical, craft brewing, and biotech end markets; and composite products, including truck bodies, overhead doors, and other industrial application products. The company offers its products under the Wabash, DuraPlate, DuraPlateHD, DuraPlate AeroSkirt, and AeroSkirt CX brands, as well as EcoNex brand. It distributes its products directly, as well as through its retail operations and independent dealers to truckload common carriers, leasing companies, private fleet carriers, less-than-truckload common carriers, and package carriers. The company was founded in 1985 and is headquartered in Lafayette, Indiana."
WEGE3,-1.0,-1,-1,-1,-1,-1,-1,-1
RTX,0.791826,-1,2,1,0,2,0,"Raytheon Technologies Corporation, an aerospace and defense company, provides systems and services for the commercial, military, and government customers worldwide. It operates through four segments: Collins Aerospace Systems, Pratt & Whitney, Raytheon Intelligence & Space, and Raytheon Missiles & Defense. The Collins Aerospace Systems segment offers aerospace and defense products, and aftermarket service solutions for aircraft manufacturers and airlines, as well as regional, business, and general aviation; and for defense and commercial space operations. This segment also designs, produces, and supports cabin interior, communications and aviation systems, oxygen systems, food and beverage preparation, storage and galley systems, and lavatory and wastewater management systems; airborne intelligence, surveillance and reconnaissance systems, test and training range systems, crew escape systems, and simulation and training solutions; information management services; and aftermarket services that include spare parts, overhaul and repair, engineering and technical support, training and fleet management solutions, and information management services. The Pratt & Whitney segment supplies aircraft engines for commercial, military, business jet, and general aviation customers; and produces, sells, and services military and commercial auxiliary power units. The Raytheon Intelligence & Space segment develops and provides integrated space, communication, and sensor systems for missions, training, and cyber and software solutions to intelligence, defense, federal, and commercial customers. The Raytheon Missiles & Defense segment designs, develops, produces, and sustains integrated air and missile defense systems; defensive and combat solutions; land- and sea-based radars; command, control, communications, and intelligence solutions; and naval and undersea sensor solutions for the U.S. and foreign government customers. The company is headquartered in Waltham, Massachusetts."
LYFT,1.878288,-1,0,1,0,2,0,"Lyft, Inc. operates a peer-to-peer marketplace for on-demand ridesharing in the United States and Canada. The company operates multimodal transportation networks that offer riders personalized and on-demand access to various mobility options. It provides Ridesharing Marketplace, which connects drivers with riders; Express Drive, a flexible car rentals program for drivers; Lyft Rentals that provides vehicles for long-distance trips; and a network of shared bikes and scooters in various cities to address the needs of riders for short trips. The company also integrates third-party public transit data into the Lyft app to offer riders various transportation options. In addition, it offers access to autonomous vehicles; centralized tools and enterprise transportation solutions, such as concierge transportation solutions for organizations; Lyft Pink subscription plans; Lyft Pass commuter programs; first-mile and last-mile services; and university safe rides programs. The company was formerly known as Zimride, Inc. and changed its name to Lyft, Inc. in April 2013. Lyft, Inc. was incorporated in 2007 and is headquartered in San Francisco, California."
BBD.B,-1.0,-1,-1,-1,-1,-1,-1,-1
CYD,1.267347,-1,2,1,0,2,0,"China Yuchai International Limited, through its subsidiaries, manufactures, assembles, and sells diesel and natural gas engines for trucks, buses and passenger vehicles, marine, industrial, and agriculture applications in the People's Republic of China and internationally. It operates through two segments, Yuchai and HLGE. The company provides diesel engines comprising 4- and 6-cylinder diesel engines, high horsepower marine diesel engines, and power generator engines, as well as natural gas engines, diesel power generators, diesel engine parts, and remanufacturing services; and generator sets, as well as plug in hybrid engines, range extenders, power generation powertrains, hybrid powertrains, integrated electric drive axel powertrains, and fuel cell systems. It also engages in the hospitality and property development activities. In addition, the company designs, produces, and sells exhaust emission control systems. It distributes its engines directly to auto original equipment manufacturers, agents, and retailers, as well as provides maintenance and retrofitting services. The company was founded in 1951 and is based in Singapore."
00267,-1.0,-1,-1,-1,-1,-1,-1,-1
ZNH,1.31768,-1,0,0,0,0,0,"China Southern Airlines Company Limited offers airline transportation services in the People's Republic of China, Hong Kong, Macau, Taiwan, and internationally. The company operates in two segments, Airline Transportation Operations and Other Segments. It offers passenger, cargo, mail delivery, and other extended transportation services. The company also provides aircraft repair and maintenance, air catering, cargo handling, logistics, freight, airport ground, and general aviation services; and import and export agency, flight simulation, leasing, and pilot training services, as well as hotel management and tour services. It operates a fleet of 879 commercial aircraft and 28 civil helicopters. The company was incorporated in 1995 and is headquartered in Guangzhou, the People's Republic of China."
DAL,1.193699,-1,2,0,0,0,2,"Delta Air Lines, Inc. provides scheduled air transportation for passengers and cargo in the United States and internationally. The company operates through two segments, Airline and Refinery. Its domestic network centered on core hubs in Atlanta, Minneapolis-St. Paul, Detroit, and Salt Lake City, as well as coastal hub positions in Boston, Los Angeles, New York-LaGuardia, New York-JFK, and Seattle; and international network centered on hubs and market presence in Amsterdam, Mexico City, London-Heathrow, Paris-Charles de Gaulle, and Seoul-Incheon. The company sells its tickets through various distribution channels, including delta.com and the Fly Delta app, reservations, online travel agencies, traditional brick and mortar, and other agencies. It also provides aircraft maintenance and engineering support, repair, and overhaul services; and vacation packages to third-party consumers, as well as aircraft charters, and management and programs. The company operates through a fleet of approximately 1,200 aircrafts. Delta Air Lines, Inc. was founded in 1924 and is based in Atlanta, Georgia."
DSCV,-1.0,-1,-1,-1,-1,-1,-1,-1
CEA,0.757537,-1,0,0,0,0,0,"China Eastern Airlines Corporation Limited, together with its subsidiaries, operates in the civil aviation industry in the People's Republic of China, Hong Kong, Macau, Taiwan, and internationally. The company offers passenger, cargo, mail delivery, ground, tour operations, air catering, and other miscellaneous services. It is also involved in flight training; airline maintenance; the provision of import and export, investment, leasing, and consultation services; the research and development of technology and products in the field of aviation; and e-commerce platform and ticket agent services. As of December 31, 2021, the company operated a fleet of 758 aircraft, including 752 passenger aircraft and 6 business aircraft. China Eastern Airlines Corporation Limited was founded in 1988 and is headquartered in Shanghai, the People's Republic of China."
EMBR3,-1.0,-1,-1,-1,-1,-1,-1,-1
EXPN,-1.0,-1,-1,-1,-1,-1,-1,-1
CCRO3,-1.0,-1,-1,-1,-1,-1,-1,-1
CJT,-1.0,-1,-1,-1,-1,-1,-1,-1
CP,0.758019,-1,2,0,2,2,0,"Canadian Pacific Railway Limited, together with its subsidiaries, owns and operates a transcontinental freight railway in Canada and the United States. The company transports bulk commodities, including grain, coal, potash, fertilizers, and sulphur; and merchandise freight, such as energy, chemicals and plastics, metals, minerals and consumer, automotive, and forest products. It also transports intermodal traffic comprising retail goods in overseas containers. The company offers rail and intermodal transportation services through a network of approximately 13,000 miles serving business centers in Quebec and British Columbia, Canada; and the United States Northeast and Midwest regions. Canadian Pacific Railway Limited was incorporated in 1881 and is headquartered in Calgary, Canada."
AAL,1.548318,-1,0,0,0,-1,-1,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2021, it operated a mainline fleet of 865 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas."
ROCK,1.063856,-1,2,1,0,2,0,"Gibraltar Industries, Inc. manufactures and distributes building products for the renewable energy, residential, agtech, and infrastructure markets in North America and Asia. It operates through four segments: Renewables, Residential, Agtech, and Infrastructure. The Renewables segment designs, engineers, manufactures, and installs solar racking and electrical balance of systems. The Residential segment offers roof and foundation ventilation products and accessories, such as solar powered units; mail and electronic package solutions, including single mailboxes, cluster style mail and parcel boxes for single and multi-family housing, and electronic package locker systems; roof edgings and flashings; soffits and trims; drywall corner beads; metal roofing products and accessories; rain dispersion products comprising gutters and accessories; and exterior retractable awnings. This segment also provides electronic parcel lockers, rooftop safety kits, chimney caps, heat trace coils and exterior products, remote-controlled deck awnings for sun protection, and solar-powered ventilation products. The Agtech segment offers growing and processing solutions, including the designing, engineering, manufacturing, and installation of greenhouses; and botanical extraction systems. The Infrastructure segment offers expansion joints, structural bearings, rubber pre-formed seals and other sealants, elastomeric concrete, and bridge cable protection systems. It serves solar developers, institutional and commercial growers of food and plants, home improvement retailers, wholesalers, distributors, and contractors. Gibraltar Industries, Inc. was founded in 1972 and is headquartered in Buffalo, New York."
GAPB,-1.0,-1,-1,-1,-1,-1,-1,-1
BNZL,-1.0,-1,-1,-1,-1,-1,-1,-1
JBLU,1.531715,-1,2,0,0,1,0,"JetBlue Airways Corporation provides air passenger transportation services. As of December 31, 2021, the company operated a fleet of 63 Airbus A321 aircraft, 8 Airbus A220 aircraft, 21 Airbus A321neo aircraft, 130 Airbus A320 aircraft, and 60 Embraer E190 aircraft. It also served 107 destinations in the 31 states in the United States, the District of Columbia, the Commonwealth of Puerto Rico, the U.S. Virgin Islands, and 24 countries in the Caribbean and Latin America. JetBlue Airways Corporation has a strategic partnership with American Airlines Group Inc. to create connectivity for travelers in the Northeast. The company was incorporated in 1998 and is based in Long Island City, New York."
500510,-1.0,-1,-1,-1,-1,-1,-1,-1
RENT3,-1.0,-1,-1,-1,-1,-1,-1,-1
GE,1.071519,-1,0,1,0,2,0,"General Electric Company operates as a high-tech industrial company in Europe, China, Asia, the Americas, the Middle East, and Africa. It operates through four segments: Power, Renewable Energy, Aviation, and Healthcare segments. The Power segment offers gas and steam turbines, full balance of plant, upgrade, and service solutions, as well as data-leveraging software for power generation, industrial, government, and other customers. The Renewables segment provides various solutions for its customers through combining onshore and offshore wind, blade manufacturing, grid solutions, hydro, storage, hybrid renewables, and digital services offerings. The Aviation segment designs and produces commercial and military aircraft engines, integrated engine components, electric power, and mechanical aircraft systems; and provides aftermarket services. The Healthcare segment provides healthcare technologies to developed and emerging markets in medical imaging, digital solutions, patient monitoring and diagnostics, and drug discovery and performance improvement solutions that are the building blocks of precision health to hospitals and medical facilities. The company also engages in the provision of various financial solutions; and management of run-off insurance operations, which provides life and health insurance and reinsurance products, as well as grid management software. General Electric Company was incorporated in 1892 and is headquartered in Boston, Massachusetts."
